id_produk,nama_produk,kategori,sub_kategori,ukuran,warna_base,harga_jual,harga_modal,stok_tersedia,material,finishing,berat_gram,deskripsi,status_aktif,tanggal_dibuat,tanggal_update
P001,Nomor Rumah Akrilik Modern 1-2 Digit,Nomor Rumah,Custom Standard,15x20cm,Hitam/Gold,85000,45000,25,Akrilik 5mm,Glossy,180,Nomor rumah modern dengan kombinasi hitam dan gold elegan,Aktif,2025-01-15,2025-10-20
P002,Nomor Rumah Akrilik Minimalis 3-4 Digit,Nomor Rumah,Custom Standard,20x30cm,Putih/Silver,125000,65000,18,Akrilik 5mm,Matte,280,Nomor rumah minimalis cocok untuk rumah modern,Aktif,2025-01-15,2025-10-18
P003,Nomor Rumah Akrilik Klasik,Nomor Rumah,Custom Premium,25x35cm,Coklat/Gold,155000,80000,12,Akrilik 8mm,Glossy,420,Desain klasik dengan detail ornamen,Aktif,2025-02-01,2025-10-15
P004,Nomor Rumah LED Backlight,Nomor Rumah,Custom LED,20x25cm,Clear/RGB,195000,105000,8,Akrilik 5mm,Mirror,320,Nomor rumah dengan lampu LED RGB,Aktif,2025-02-10,2025-10-22
P005,Nomor Rumah Akrilik Kayu Kombinasi,Nomor Rumah,Custom Premium,30x40cm,Natural/Hitam,225000,120000,6,Akrilik 8mm,Matte,580,Kombinasi akrilik dan kayu jati,Aktif,2025-03-05,2025-10-10
P006,Nomor Rumah Mini 1 Digit,Nomor Rumah,Standard,10x15cm,Hitam,55000,28000,35,Akrilik 3mm,Glossy,95,Nomor rumah kecil untuk apartemen,Aktif,2025-01-20,2025-10-23
P007,Nomor Rumah Jumbo Custom,Nomor Rumah,Custom Jumbo,40x50cm,Custom,285000,155000,4,Akrilik 8mm,Glossy,850,Nomor rumah jumbo untuk pagar besar,Aktif,2025-03-15,2025-09-30
P008,Nomor Rumah Floral Pattern,Nomor Rumah,Custom Design,20x28cm,Putih/Rose Gold,145000,75000,10,Akrilik 5mm,Glossy,265,Dengan motif bunga minimalis,Aktif,2025-04-01,2025-10-12
P009,Nomor Rumah Geometric Modern,Nomor Rumah,Custom Design,22x30cm,Hitam/Silver,135000,70000,14,Akrilik 5mm,Matte,290,Desain geometris modern,Aktif,2025-04-10,2025-10-19
P010,Nomor Rumah Double Layer 3D,Nomor Rumah,Custom Premium,25x32cm,Hitam/Gold,175000,92000,9,Akrilik 5mm,Glossy,385,Efek 3D dengan double layer,Aktif,2025-05-01,2025-10-16
P011,Nomor Rumah Neon Color,Nomor Rumah,Custom Standard,18x24cm,Neon Green,95000,48000,16,Akrilik 5mm,Glossy,210,Warna neon menyala,Aktif,2025-05-15,2025-10-21
P012,Nomor Rumah Rounded Edge,Nomor Rumah,Custom Standard,20x26cm,Abu/Putih,115000,58000,13,Akrilik 5mm,Matte,245,Sudut membulat elegan,Aktif,2025-06-01,2025-10-14
P013,Nomor Rumah Marble Pattern,Nomor Rumah,Custom Design,23x30cm,Marble/Gold,165000,85000,7,Akrilik 5mm,Glossy,310,Motif marmer premium,Aktif,2025-06-20,2025-10-11
P014,Nomor Rumah Glow in Dark,Nomor Rumah,Custom Special,20x28cm,Putih/Glow,185000,98000,5,Akrilik 5mm,Matte,275,Menyala dalam gelap,Aktif,2025-07-05,2025-10-08
P015,Nomor Rumah Laser Cut Detail,Nomor Rumah,Custom Premium,28x38cm,Hitam/Gold,205000,110000,6,Akrilik 8mm,Glossy,480,Detail laser cut presisi,Aktif,2025-07-20,2025-10-13
P016,Signage Akrilik OPEN/CLOSED LED,Signage,Business LED,30x40cm,Custom,350000,185000,12,Akrilik 5mm,Glossy,550,Signage dua sisi dengan LED,Aktif,2025-02-01,2025-10-20
P017,Signage Toko Custom Logo,Signage,Business Standard,35x50cm,Custom,425000,225000,8,Akrilik 8mm,Glossy,780,Logo toko custom design,Aktif,2025-02-15,2025-10-18
P018,Signage Cafe Vintage,Signage,Business Design,40x55cm,Coklat/Krem,485000,260000,5,Akrilik 8mm,Matte,920,Desain vintage untuk cafe,Aktif,2025-03-01,2025-10-15
P019,Signage LED Neon Style,Signage,Business LED,45x60cm,Custom/RGB,625000,340000,4,Akrilik 8mm,Glossy,1150,Efek neon dengan LED strip,Aktif,2025-03-20,2025-10-12
P020,Signage Directional Arrow,Signage,Wayfinding,25x35cm,Putih/Hitam,215000,115000,15,Akrilik 5mm,Matte,380,Petunjuk arah minimalis,Aktif,2025-04-05,2025-10-22
P021,Signage Informasi COVID-19,Signage,Health Protocol,30x40cm,Merah/Putih,185000,95000,20,Akrilik 3mm,Glossy,285,Protokol kesehatan,Aktif,2025-04-15,2025-10-19
